rank,country,confederation,market_value,market_value_eur
1,France,UEFA,€1.52bn,1520000000
2,England,UEFA,€1.36bn,1360000000
3,Spain,UEFA,€1.22bn,1220000000
4,Portugal,UEFA,€1.01bn,1010000000
5,Germany,UEFA,€947.00m,947000000
6,Brazil,South American Football Confederation,€928.20m,928200000
7,Argentina,South American Football Confederation,€807.50m,807500000
8,Netherlands,UEFA,€754.20m,754200000
9,Norway,UEFA,€589.90m,589900000
10,Belgium,UEFA,€547.50m,547500000
11,Ivory Coast,CAF,€522.10m,522100000
12,Senegal,CAF,€478.10m,478100000
13,Turkiye,UEFA,€473.70m,473700000
14,Morocco,CAF,€447.70m,447700000
15,Sweden,UEFA,€406.08m,406080000
16,Croatia,UEFA,€387.30m,387300000
17,United States,CONCACAF,€385.65m,385650000
18,Ecuador,South American Football Confederation,€368.70m,368700000
19,Denmark,UEFA,€365.00m,365000000
20,Uruguay,South American Football Confederation,€359.30m,359300000
21,Switzerland,UEFA,€332.50m,332500000
22,Italy,UEFA,€315.70m,315700000
23,Colombia,South American Football Confederation,€302.35m,302350000
24,Greece,UEFA,€275.60m,275600000
25,Japan,AFC,€270.85m,270850000
26,Georgia,UEFA,€260.00m,260000000
27,Algeria,CAF,€256.90m,256900000
28,Ukraine,UEFA,€247.00m,247000000
29,Austria,UEFA,€245.20m,245200000
30,Russia,UEFA,€242.70m,242700000
31,Ghana,CAF,€234.60m,234600000
32,Poland,UEFA,€231.60m,231600000
33,Serbia,UEFA,€209.50m,209500000
34,Hungary,UEFA,€209.20m,209200000
35,Cameroon,CAF,€198.70m,198700000
36,Canada,CONCACAF,€198.65m,198650000
37,Mexico,CONCACAF,€191.85m,191850000
38,Czechia,UEFA,€188.18m,188180000
39,Wales,UEFA,€180.65m,180650000
40,Nigeria,CAF,€171.85m,171850000
41,Scotland,UEFA,€170.25m,170250000
42,Paraguay,South American Football Confederation,€153.65m,153650000
43,Bosnia-Herzegovina,UEFA,€151.60m,151600000
44,Kosovo,UEFA,€147.48m,147480000
45,Republic of Ireland,UEFA,€146.85m,146850000
46,Democratic Republic of the Congo,CAF,€143.90m,143900000
47,South Korea,AFC,€139.05m,139050000
48,Mali,CAF,€116.55m,116550000
49,Egypt,CAF,€116.48m,116480000
50,Burkina Faso,CAF,€110.55m,110550000
51,Slovenia,UEFA,€100.50m,100500000
52,Iceland,UEFA,€89.10m,89100000
53,Albania,UEFA,€88.80m,88800000
54,Uzbekistan,AFC,€85.33m,85330000
55,Northern Ireland,UEFA,€79.90m,79900000
56,Venezuela,South American Football Confederation,€79.00m,79000000
57,The Gambia,CAF,€78.78m,78780000
58,Australia,AFC,€77.45m,77450000
59,Guinea,CAF,€74.13m,74130000
60,Tunisia,CAF,€69.95m,69950000
61,Montenegro,UEFA,€68.55m,68550000
62,Chile,South American Football Confederation,€66.80m,66800000
63,Israel,UEFA,€62.90m,62900000
64,Slovakia,UEFA,€59.85m,59850000
65,Romania,UEFA,€56.15m,56150000
66,Haiti,CONCACAF,€55.90m,55900000
67,Cape Verde,CAF,€54.50m,54500000
68,South Africa,CAF,€49.25m,49250000
69,Angola,CAF,€47.35m,47350000
70,Armenia,UEFA,€42.43m,42430000
71,Finland,UEFA,€41.85m,41850000
72,Saudi Arabia,AFC,€40.68m,40680000
73,Guinea-Bissau,CAF,€39.45m,39450000
74,Suriname,CONCACAF,€35.93m,35930000
75,Gabon,CAF,€34.98m,34980000
76,Panama,CONCACAF,€34.55m,34550000
77,New Zealand,OFC,€34.35m,34350000
78,North Macedonia,UEFA,€33.90m,33900000
79,Iran,AFC,€32.05m,32050000
80,Bulgaria,UEFA,€30.15m,30150000
81,Peru,South American Football Confederation,€30.03m,30030000
82,United Arab Emirates,AFC,€29.05m,29050000
83,Costa Rica,CONCACAF,€28.20m,28200000
84,Togo,CAF,€27.80m,27800000
85,Curaçao,CONCACAF,€25.78m,25780000
86,Mauritania,CAF,€25.35m,25350000
87,Zimbabwe,CAF,€25.33m,25330000
88,Iraq,AFC,€21.20m,21200000
89,Honduras,CONCACAF,€20.93m,20930000
90,Jordan,AFC,€20.30m,20300000
91,Qatar,AFC,€19.93m,19930000
92,Indonesia,AFC,€19.45m,19450000
93,Cyprus,UEFA,€19.20m,19200000
94,Azerbaijan,UEFA,€18.13m,18130000
95,Benin,CAF,€18.08m,18080000
96,Bolivia,South American Football Confederation,€18.05m,18050000
97,Kazakhstan,UEFA,€16.30m,16300000
98,Belarus,UEFA,€15.38m,15380000
99,Malta,UEFA,€14.95m,14950000
100,Lithuania,UEFA,€14.73m,14730000
101,Luxembourg,UEFA,€14.55m,14550000
102,Liberia,CAF,€14.33m,14330000
103,Zambia,CAF,€14.13m,14130000
104,Guadeloupe,CONCACAF,€13.80m,13800000
105,Sierra Leone,CAF,€13.33m,13330000
106,China,AFC,€13.30m,13300000
107,Estonia,UEFA,€12.80m,12800000
108,Dominican Republic,CONCACAF,€12.75m,12750000
109,Niger,CAF,€11.00m,11000000
110,Burundi,CAF,€10.93m,10930000
111,Palestine,AFC,€10.30m,10300000
112,Libya,CAF,€10.13m,10130000
113,Moldova,UEFA,€10.00m,10000000
114,Jamaica,CONCACAF,€9.05m,9050000
115,Tanzania,CAF,€9.03m,9030000
116,Uganda,CAF,€8.75m,8750000
117,Chad,CAF,€8.55m,8550000
118,Latvia,UEFA,€8.23m,8230000
119,Central African Republic,CAF,€8.20m,8200000
120,Syria,AFC,€7.93m,7930000
121,Guatemala,CONCACAF,€7.78m,7780000
122,Tajikistan,AFC,€7.78m,7780000
123,Bangladesh,AFC,€7.25m,7250000
124,El Salvador,CONCACAF,€7.13m,7130000
125,Kyrgyzstan,AFC,€7.05m,7050000
126,Malaysia,AFC,€7.03m,7030000
127,Rwanda,CAF,€7.00m,7000000
128,North Korea,AFC,€6.85m,6850000
129,Madagascar,CAF,€6.78m,6780000
130,Oman,AFC,€6.73m,6730000
131,Thailand,AFC,€6.43m,6430000
132,Vietnam,AFC,€6.38m,6380000
133,Bahrain,AFC,€6.15m,6150000
134,Lebanon,AFC,€5.55m,5550000
135,New Caledonia,OFC,€5.20m,5200000
136,Faroe Islands,UEFA,€5.10m,5100000
137,Singapore,AFC,€4.38m,4380000
138,Eritrea,CAF,€4.33m,4330000
139,Kuwait,AFC,€4.23m,4230000
140,Equatorial Guinea,CAF,€4.18m,4180000
141,India,AFC,€4.00m,4000000
142,Trinidad and Tobago,CONCACAF,€3.78m,3780000
143,Nicaragua,CONCACAF,€3.78m,3780000
144,Hong Kong,AFC,€3.63m,3630000
145,Comoros,CAF,€3.63m,3630000
146,Martinique,CONCACAF,€3.58m,3580000
147,Pakistan,AFC,€3.49m,3490000
148,Andorra,UEFA,€3.34m,3340000
149,Sudan,CAF,€3.28m,3280000
150,Kenya,CAF,€3.15m,3150000
151,Botswana,CAF,€3.10m,3100000
152,Philippines,AFC,€3.05m,3050000
153,Myanmar,AFC,€3.00m,3000000
